Brave,2012,7.2,2.35,Adventure|Animation|Comedy|Family|Fantasy,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
WALL·E,2008,8.4,2.35,Adventure|Animation|Family|Sci-Fi,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Rush Hour 3,2007,6.2,2.35,Action|Comedy|Crime|Thriller,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012,2009,5.8,2.35,Action|Adventure|Sci-Fi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Jupiter Ascending,2015,5.4,2.35,Action|Adventure|Sci-Fi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.9,2.35,Adventure|Family|Fantasy,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
X-Men: Apocalypse,2016,7.3,2.35,Action|Adventure|Sci-Fi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Dark Knight,2008,9,2.35,Action|Crime|Drama|Thriller,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Up,2009,8.3,1.85,Adventure|Animation|Comedy|Family,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Monsters vs. Aliens,2009,6.5,2.35,Action|Adventure|Animation|Comedy|Family|Sci-Fi,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Iron Man,2008,7.9,2.35,Action|Adventure|Sci-Fi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hugo,2011,7.5,1.85,Adventure|Drama|Family|Mystery,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Wild Wild West,1999,4.8,1.85,Action|Comedy|Sci-Fi|Western,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
The Mummy: Tomb of the Dragon Emperor,2008,5.2,2.35,Action|Adventure|Fantasy|Horror|Thriller,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
Suicide Squad,2016,6.9,2.35,Action|Adventure|Comedy|Sci-Fi,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Evan Almighty,2007,5.4,2.35,Comedy|Family|Fantasy,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Edge of Tomorrow,2014,7.9,2.35,Action|Adventure|Sci-Fi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Waterworld,1995,6.1,1.85,Action|Adventure|Sci-Fi|Thriller,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
G.I. Joe: The Rise of Cobra,2009,5.8,2.35,Action|Adventure|Sci-Fi|Thriller,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Inside Out,2015,8.3,1.85,Adventure|Animation|Comedy|Drama|Family|Fantasy,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
The Jungle Book,2016,7.8,1.85,Adventure|Drama|Family|Fantasy,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Iron Man 2,2010,7,2.35,Action|Adventure|Sci-Fi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Snow White and the Huntsman,2012,6.1,2.35,Action|Adventure|Drama|Fantasy,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Maleficent,2014,7,2.35,Action|Adventure|Family|Fantasy|Romance,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Dawn of the Planet of the Apes,2014,7.6,1.85,Action|Adventure|Drama|Sci-Fi,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
47 Ronin,2013,6.3,2.35,Action|Adventure|Drama|Fantasy,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Captain America: The Winter Soldier,2014,7.8,2.35,Action|Adventure|Sci-Fi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Shrek Forever After,2010,6.4,2.35,Adventure|Animation|Comedy|Family|Fantasy,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Wreck-It Ralph,2012,7.8,2.35,Adventure|Animation|Comedy|Family|Sci-Fi,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
The Polar Express,2004,6.6,2.35,Adventure|Animation|Family|Fantasy,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
How to Train Your Dragon,2010,8.2,2.35,Adventure|Animation|Family|Fantasy,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Terminator 3: Rise of the Machines,2003,6.4,2.35,Action|Sci-Fi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Guardians of the Galaxy,2014,8.1,2.35,Action|Adventure|Sci-Fi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Interstellar,2014,8.6,2.35,Adventure|Drama|Sci-Fi,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Inception,2010,8.8,2.35,Action|Adventure|Sci-Fi|Thriller,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
The Hobbit: An Unexpected Journey,2012,7.9,2.35,Adventure|Fantasy,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Fast and the Furious,2001,6.7,2.35,Action|Crime|Thriller,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Curious Case of Benjamin Button,2008,7.8,2.35,Drama|Fantasy|Romance,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
X-Men: First Class,2011,7.8,2.35,Action|Adventure|Sci-Fi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Hunger Games: Mockingjay - Part 2,2015,6.6,2.35,Adventure|Sci-Fi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Sorcerer's Apprentice,2010,6.1,2.35,Action|Adventure|Family|Fantasy,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Shrek the Third,2007,6.1,1.85,Adventure|Animation|Comedy|Family|Fantasy,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Warcraft,2016,7.3,2.35,Action|Adventure|Fantasy,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Terminator Genisys,2015,6.6,2.35,Action|Adventure|Sci-Fi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Transformers,2007,7.1,2.35,Action|Adventure|Sci-Fi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Alexander,2004,5.5,2.35,Action|Adventure|Biography|Drama|History|Romance|War,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
Harry Potter and the Order of the Phoenix,2007,7.5,2.35,Adventure|Family|Fantasy|Mystery,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
Harry Potter and the Goblet of Fire,2005,7.6,2.35,Adventure|Family|Fantasy|Mystery,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
Hancock,2008,6.4,2.35,Action|Drama,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I Am Legend,2007,7.2,2.35,Drama|Horror|Sci-Fi,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Charlie and the Chocolate Factory,2005,6.7,1.85,Adventure|Comedy|Family|Fantasy,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Ratatouille,2007,8,2.35,Animation|Comedy|Family|Fantasy,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Batman Begins,2005,8.3,2.35,Action|Adventure,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar: Escape 2 Africa,2008,6.7,1.85,Action|Adventure|Animation|Comedy|Family,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Night at the Museum: Battle of the Smithsonian,2009,5.9,2.35,Adventure|Comedy|Family|Fantasy,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
